iteration,find_best_us,split_us,update_info_us,total_us,active_faces,n_vertices
244,0.542,0.16,318.013,318.811,710,1461
245,0.466,561.576,144.027,706.183,712,1465
246,0.664,0.08,304.68,305.531,712,1465
247,0.608,0.057,169.426,170.192,712,1465
248,0.748,0.233,311.454,312.694,712,1465
249,0.282,482.586,159.215,642.275,714,1469
250,0.227,2098.95,39.785,2139.06,720,1481
251,79.904,252.116,95.149,427.276,721,1484
252,0.649,539.947,168.257,708.976,723,1488
253,0.536,2183.08,26.541,2210.28,729,1500
254,121.008,443.379,131.528,696.029,731,1504
255,55.144,829.679,27.068,912.018,734,1511
256,149.212,647.359,197.767,994.462,736,1515
257,0.894,2940.38,137.284,3078.67,742,1527
258,0.396,390.84,117.516,508.879,743,1530
259,1.131,818.902,170.986,991.142,745,1534
260,0.242,1055.5,180.732,1236.58,747,1538
261,0.501,569.867,130.805,701.283,748,1541
262,1.172,0.234,422.651,424.165,748,1541
263,0.48,1858.09,31.903,1890.58,752,1549
264,1.311,2355.26,123.189,2479.87,758,1561
265,163.368,601.596,142.113,907.216,760,1565
266,0.847,1610,31.029,1641.99,764,1573
267,0.446,0.215,291.447,292.215,764,1573
268,0.653,1143.07,32.644,1176.46,768,1581
269,0.134,830.772,115.099,946.253,771,1588
270,0.145,0.096,223.689,224.044,771,1588
271,0.116,0.158,196.27,196.655,771,1588
272,0.109,448.846,154.805,603.866,773,1592
273,0.129,0.123,278.511,278.885,773,1592
274,0.111,1926.56,100.172,2026.94,779,1604
275,0.277,848.835,25.236,874.438,783,1612
276,0.13,942.166,190.175,1132.58,785,1616
277,0.297,1734.67,110.093,1845.15,792,1631
278,0.334,1425.62,40.296,1466.35,796,1639
279,0.35,0.082,282.009,282.543,796,1639
280,115.892,651.654,186.474,954.141,798,1643
281,0.293,1671.9,118.431,1790.72,804,1655
282,0.161,1017.49,178.316,1196.08,806,1659
283,0.282,1105.2,138.994,1244.57,810,1667
284,1.447,0.087,288.867,290.595,810,1667
285,94.149,818.178,180.903,1093.38,812,1671
286,0.273,1531.13,116.983,1648.48,817,1682
287,102.864,945.801,127.149,1175.93,821,1690
288,0.179,2033.56,179.871,2213.71,827,1702
289,0.756,1274.77,134.568,1410.21,831,1710
290,110.653,618.701,157.431,886.934,833,1714
291,0.598,1621.05,109.991,1731.74,837,1722
292,0.375,586.537,168.443,755.453,839,1726
293,0.714,693.805,175.457,870.074,841,1730
294,0.602,620.342,195.818,816.883,843,1734
295,0.377,0.161,291.315,291.969,843,1734
296,0.191,2488.1,144.758,2633.15,849,1746
297,121.624,1717.58,38.245,1877.57,854,1757
298,1.259,2755.37,155.968,2912.74,860,1769
299,0.67,1840.72,148.412,1989.91,864,1777
300,1.023,0.224,438.299,439.661,864,1777
301,129.77,618.86,176.711,925.477,866,1781
302,0.096,0.081,255.68,255.991,866,1781
303,0.089,0.031,212.916,213.148,866,1781
304,0.144,2983.37,155.233,3138.87,872,1793
305,118.654,626.204,278.805,1023.83,874,1797
306,0.21,2436.32,193.326,2630.06,879,1808
307,0.366,519.973,216.295,736.736,881,1812
308,0.197,0.154,240.056,240.523,881,1812
309,0.107,1054.17,147.938,1202.31,885,1820
310,84.462,1100.72,32.192,1217.49,889,1828
311,0.11,1878.19,48.653,1927.05,893,1836
312,0.344,3254.24,175.857,3430.55,900,1851
313,144.156,1470.54,157.637,1772.46,905,1862
314,0.224,439.312,195.9,635.536,907,1866
315,0.069,1775.86,44.151,1820.2,911,1874
316,0.458,0.224,346.541,347.327,911,1874
317,0.147,536.585,187.313,724.16,913,1878
318,0.157,1071.19,160,1231.46,916,1885
319,0.193,1213.53,40.568,1254.39,920,1893
320,0.32,0.076,295.499,295.995,920,1893
321,0.108,0.059,312.413,312.681,920,1893
322,0.145,1200.67,187.977,1388.89,922,1897
323,0.35,493.588,213.304,707.336,924,1901
324,0.186,0.144,310.887,311.309,924,1901
325,0.091,1135.63,130.39,1266.21,928,1909
326,0.186,0.113,293.613,294.005,928,1909
327,0.1,2377.95,146.874,2525.02,934,1921
328,0.274,1152.27,29.336,1181.97,938,1929
329,0.063,0.059,309.72,309.935,938,1929
330,0.094,0.081,310.95,311.218,938,1929
331,0.095,0.141,172.163,172.503,938,1929
332,0.105,0.176,209.793,210.172,938,1929
