iteration,find_best_us,split_us,update_info_us,total_us,active_faces,n_vertices,cascade_activations,faces_created,edges_created,add_face_calls,update_info_calls
366,0.074,0.182,280.907,281.269,977,2010,0,0,0,0,5
367,110.857,591.526,219.687,922.22,979,2014,0,24,20,12,16
368,0.153,0.087,269.438,269.785,979,2014,0,0,0,0,6
369,0.108,0.063,313.668,314.025,979,2014,0,0,0,0,8
370,0.084,0.088,372.658,372.952,979,2014,0,0,0,0,8
371,0.203,620.961,234.164,855.433,981,2018,0,24,20,12,16
372,0.186,1316.32,38.089,1354.7,985,2026,1,48,40,24,28
373,0.163,2474.78,119.891,2594.94,991,2038,2,72,60,36,47
374,0.399,1137.64,137.178,1275.3,995,2046,1,48,40,24,31
375,106.007,1152.08,210.285,1468.49,997,2050,0,24,20,12,16
376,0.325,0.135,348.914,349.475,997,2050,0,0,0,0,8
377,0.064,0.12,328.882,329.168,997,2050,0,0,0,0,7
378,0.107,1464.21,158.06,1622.47,1001,2058,1,48,40,24,31
379,0.18,564.348,275.722,840.368,1003,2062,0,24,20,12,16
380,0.186,0.189,252.995,253.471,1003,2062,0,0,0,0,5
381,0.103,0.108,302.895,303.21,1003,2062,0,0,0,0,6
382,0.093,1155.33,180.46,1335.99,1006,2069,1,36,32,18,24
383,0.181,1114.21,266.737,1381.29,1008,2073,0,24,20,12,16
384,0.367,2265.32,206.112,2471.94,1014,2085,2,72,60,36,47
385,115.97,630.223,233.589,979.929,1016,2089,0,24,20,12,16
386,0.122,0.109,278.367,278.704,1016,2089,0,0,0,0,5
387,0.11,1867.59,163.166,2031.01,1020,2097,1,48,40,24,31
388,0.325,948.493,35.821,984.729,1023,2104,1,36,32,18,21
389,0.132,1224.89,42.778,1267.89,1027,2112,1,48,40,24,28
390,0.152,1083.79,262.745,1346.83,1029,2116,0,24,20,12,16
391,0.398,1153.33,170.14,1324.02,1032,2123,1,36,32,18,24
392,0.284,0.077,335.988,336.456,1032,2123,0,0,0,0,7
393,0.108,0.029,203.453,203.67,1032,2123,0,0,0,0,5
394,0.1,1873.33,157.24,2030.75,1038,2135,2,72,60,36,47
395,0.107,1035.16,264.941,1300.36,1040,2139,0,24,20,12,16
396,0.325,0.136,324.349,324.934,1040,2139,0,0,0,0,6
397,0.09,1676,41.776,1717.95,1045,2150,2,60,52,30,36
398,0.134,515.378,206.114,721.741,1047,2154,0,24,20,12,16
399,0.164,0.157,234.564,234.994,1047,2154,0,0,0,0,5
