iteration,find_best_us,split_us,update_info_us,total_us,active_faces,n_vertices
413,0.33,0.14,14164.2,14164.8,1205,2480
414,0.369,131825,6133.9,137960,1211,2492
415,0.612,18624.5,4574.25,23199.5,1212,2495
416,0.711,61807,6988.98,68796.9,1215,2502
417,0.497,86518.9,7354.09,93873.7,1219,2510
418,0.602,0.25,13549.3,13550.3,1219,2510
419,0.348,0.178,14282.9,14283.5,1219,2510
420,0.375,88324.9,7366.1,95691.5,1223,2518
421,0.403,0.165,15385.4,15386.2,1223,2518
422,0.366,17452.2,4720.05,22172.7,1224,2521
423,0.28,45172.2,8974.92,54147.6,1226,2525
424,0.345,0.306,13811.1,13811.9,1226,2525
425,260891,42836.4,9990.48,313718,1228,2529
426,0.408,0.105,13533.9,13534.6,1228,2529
427,0.478,99096,7087.36,106184,1232,2537
428,0.431,95026.5,7526.01,102553,1236,2545
429,0.402,85633,7424.51,93058.1,1240,2553
430,0.748,38973.4,9133.65,48108,1242,2557
431,272008,47868.3,8829.03,328705,1244,2561
432,0.56,137518,7273.33,144792,1250,2573
433,0.398,0.092,15119.9,15120.6,1250,2573
434,0.496,45931.2,8838.34,54770.2,1252,2577
435,264491,41360.8,8407.45,314259,1254,2581
436,0.448,17955.9,5142.17,23098.7,1255,2584
437,0.529,44238.7,9381.46,53620.8,1257,2588
438,0.401,0.331,11907.2,11908.1,1257,2588
439,0.365,88906.8,7495.61,96403,1261,2596
440,0.526,0.123,14724.9,14725.7,1261,2596
441,0.273,38940.9,9598.37,48539.7,1263,2600
442,0.558,0.234,10798.1,10799.1,1263,2600
443,0.408,0.198,12785,12785.7,1263,2600
444,268492,43474.7,9784.7,321752,1265,2604
445,0.402,18279.7,4957.72,23238,1266,2607
446,0.363,88917.2,6680.79,95598.5,1270,2615
447,0.453,47400.2,9097.37,56498.2,1272,2619
448,0.388,0.104,14657.7,14658.3,1272,2619
449,0.501,0.14,20347.1,20348,1272,2619
450,0.329,41574.5,8432.03,50007,1274,2623
451,0.287,39130,9235.33,48365.8,1276,2627
452,0.333,0.267,16317.5,16318.3,1276,2627
453,0.288,0.157,12973.9,12974.5,1276,2627
454,0.304,99672.5,119.534,99792.5,1280,2635
455,269631,42471.7,9518.96,321622,1282,2639
456,0.498,0.118,16904.1,16904.8,1282,2639
457,0.606,0.552,14890.5,14891.8,1282,2639
458,0.708,0.3,11316.5,11317.7,1282,2639
459,0.544,59434,152.883,59587.6,1285,2646
460,274272,90089.7,6133.49,370496,1289,2654
461,0.587,44688.3,8947.42,53636.5,1291,2658
462,0.705,0.647,15529.5,15531.1,1291,2658
463,0.46,98117.7,127.754,98246,1295,2666
464,284838,40856.9,9011.89,334707,1297,2670
465,0.471,141524,5857.77,147383,1303,2682
466,0.543,41977.8,8708.31,50686.8,1305,2686
467,0.557,0.117,15192.1,15192.9,1305,2686
468,0.46,22665,4552.91,27218.6,1306,2689
469,0.909,91585.8,119.102,91705.9,1310,2697
470,0.405,40687.2,9073.24,49761.1,1312,2701
471,0.407,0.229,14595.9,14596.7,1312,2701
472,0.368,0.174,17271.5,17272.2,1312,2701
473,0.324,0.072,14377.8,14378.4,1312,2701
474,0.75,0.351,14478,14479.2,1312,2701
475,0.286,158429,7227.12,165656,1318,2713
476,282935,44112.4,9259.35,336307,1320,2717
477,0.397,44267.7,9342.66,53610.9,1322,2721
478,285223,39671,7831.46,332726,1324,2725
479,0.487,39241.4,8034.38,47276.5,1326,2729
480,0.503,140520,5560.91,146081,1332,2741
481,0.548,0.201,11651.1,11652,1332,2741
482,0.258,0.153,13812,13812.5,1332,2741
483,0.264,145547,6042.71,151591,1338,2753
484,0.329,0.057,14083.6,14084.1,1338,2753
485,0.24,41723.7,8389.17,50113.2,1340,2757
486,0.354,0.098,14797,14797.6,1340,2757
487,0.282,38514.6,8905.51,47420.5,1342,2761
488,0.379,58596.5,144.754,58741.8,1345,2768
489,0.381,46592.8,9255.7,55849.1,1347,2772
490,0.33,39713.6,10163.6,49877.6,1349,2776
491,0.417,36642.1,8322.05,44964.7,1351,2780
492,0.378,38681.1,8435.29,47116.9,1353,2784
493,0.405,0.312,12751.6,12752.5,1353,2784
494,293647,42224.6,10229.8,346101,1355,2788
495,288618,42183.1,8421.23,339222,1357,2792
496,0.486,0.32,14282.2,14283.2,1357,2792
497,0.421,41708.8,8671.27,50380.7,1359,2796
